time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430739.131446,17,366,192.168.1.1,192.168.1.149,53,43687
1551430739.132872,6,46,192.168.1.149,216.58.211.54,53954,443
1551430739.151593,6,224,192.168.1.149,130.206.193.111,34082,443
1551430739.151919,6,224,192.168.1.149,130.206.193.111,34080,443
1551430739.177474,6,1448,130.206.193.111,192.168.1.149,443,34082
1551430739.177509,6,1448,130.206.193.111,192.168.1.149,443,34082
1551430739.179312,6,241,130.206.193.111,192.168.1.149,443,34082
1551430739.179347,6,1448,130.206.193.111,192.168.1.149,443,34080
1551430739.179355,6,1448,130.206.193.111,192.168.1.149,443,34080
1551430739.179363,6,241,130.206.193.111,192.168.1.149,443,34080
1551430739.179812,6,258,192.168.1.149,130.206.193.111,34082,443
1551430739.180233,6,258,192.168.1.149,130.206.193.111,34080,443
1551430739.206369,6,278,130.206.193.111,192.168.1.149,443,34082
1551430739.206377,6,278,130.206.193.111,192.168.1.149,443,34080
1551430739.208988,6,452,192.168.1.149,130.206.193.111,34082,443
1551430739.209083,6,458,192.168.1.149,130.206.193.111,34080,443
1551430739.235431,6,216,130.206.193.111,192.168.1.149,443,34080
1551430739.235455,6,216,130.206.193.111,192.168.1.149,443,34082
1551430739.503089,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.504482,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.50456,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.504578,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.525205,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.52524,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.527368,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.527524,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530339,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530383,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530396,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530403,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530413,6,1418,216.58.210.142,192.168.1.149,443,38144
1551430739.530421,6,1418,216.58.210.142,192.168.1.149,443,38144
